image_path,image_name,sample_id,position,repeat_index,status,length_px,dx_px,dy_px,angle_deg,measurement_method,x1_px,y1_px,x2_px,y2_px,band_bbox_x,band_bbox_y,band_bbox_w,band_bbox_h,component_area_px,component_fill,threshold,band_slope,confidence,band_confidence,edge_confidence,edge_left_x_px,edge_right_x_px,edge_left_strength,edge_right_strength,edge_left_contrast,edge_right_contrast,edge_profile_height_px,reference_length_px,length_delta_from_reference_px,length_ratio_to_reference,overlay_path,message
sample_1/pos_2/Pic_2026_04_23_142853_318.bmp,Pic_2026_04_23_142853_318.bmp,s1,pos2,,OK,2733.736357,2733.736348,0.226371,0.004744,subpixel_projection_edge,163.603165,504.841724,2897.339512,505.068095,163,463,2731,271,559468,0.755935,122.000000,-0.004864,0.933001,1.000000,0.933001,159.143399,2896.910370,13.172756,14.963892,254.999969,254.999969,271,2737.127188,-3.390831,0.998761,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142853_318_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142855_319.bmp,Pic_2026_04_23_142855_319.bmp,s1,pos2,,OK,2733.748319,2733.748197,0.815920,0.017101,subpixel_projection_edge,163.583388,503.701765,2897.331585,504.517684,163,462,2731,272,558720,0.752149,122.000000,-0.004648,0.938347,1.000000,0.938347,159.123622,2896.902442,13.318546,14.823741,254.999969,254.999969,272,2737.127188,-3.378870,0.998766,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142855_319_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142857_320.bmp,Pic_2026_04_23_142857_320.bmp,s1,pos2,,OK,2733.764488,2733.764483,0.162310,0.003402,subpixel_projection_edge,163.575429,504.873754,2897.339912,505.036064,163,463,2731,271,558334,0.754402,122.000000,-0.004887,0.942603,1.000000,0.942603,159.115663,2896.910769,13.434633,14.816849,254.999969,254.999969,271,2737.127188,-3.362701,0.998771,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142857_320_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142859_321.bmp,Pic_2026_04_23_142859_321.bmp,s1,pos2,,OK,2733.781192,2733.781142,0.521923,0.010939,subpixel_projection_edge,163.572647,503.848763,2897.353790,504.370686,163,462,2731,272,558812,0.752272,122.000000,-0.004756,0.944802,1.000000,0.944802,159.112881,2896.924647,13.494587,14.976035,254.999969,254.999969,272,2737.127188,-3.345996,0.998778,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142859_321_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142901_322.bmp,Pic_2026_04_23_142901_322.bmp,s1,pos2,,OK,2733.754726,2733.754709,0.307659,0.006448,subpixel_projection_edge,163.574149,503.955895,2897.328857,504.263554,163,462,2731,272,558598,0.751984,122.000000,-0.004834,0.944002,1.000000,0.944002,159.114383,2896.899715,13.472788,14.736390,254.999969,254.999969,272,2737.127188,-3.372462,0.998768,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142901_322_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142903_323.bmp,Pic_2026_04_23_142903_323.bmp,s1,pos2,,OK,2733.772776,2733.772752,0.361904,0.007585,subpixel_projection_edge,163.568444,503.928773,2897.341196,504.290676,163,462,2731,272,558532,0.751895,122.000000,-0.004814,0.946446,1.000000,0.946446,159.108677,2896.912053,13.539450,14.890945,254.999969,254.999969,272,2737.127188,-3.354412,0.998774,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142903_323_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142905_324.bmp,Pic_2026_04_23_142905_324.bmp,s1,pos2,,OK,2733.762397,2733.762394,0.133860,0.002806,subpixel_projection_edge,163.570575,504.887979,2897.332969,505.021839,163,463,2731,271,558188,0.754205,122.000000,-0.004898,0.943786,1.000000,0.943786,159.110809,2896.903826,13.466895,14.777168,254.999969,254.999969,271,2737.127188,-3.364791,0.998771,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142905_324_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142907_325.bmp,Pic_2026_04_23_142907_325.bmp,s1,pos2,,OK,2733.769480,2733.769467,0.263657,0.005526,subpixel_projection_edge,163.570075,503.977896,2897.339543,504.241553,163,462,2731,272,558289,0.751568,122.000000,-0.004850,0.944900,1.000000,0.944900,159.110309,2896.910400,13.497282,14.846922,254.999969,254.999969,272,2737.127188,-3.357708,0.998773,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142907_325_overlay.png,
sample_1/pos_2/Pic_2026_04_23_142909_326.bmp,Pic_2026_04_23_142909_326.bmp,s1,pos2,,OK,2733.754976,2733.754850,0.827111,0.017335,subpixel_projection_edge,163.579795,503.696169,2897.334646,504.523280,163,462,2731,272,558670,0.752081,122.000000,-0.004644,0.942264,1.000000,0.942264,159.120029,2896.905503,13.425374,14.852835,254.999969,254.999969,272,2737.127188,-3.372213,0.998768,output/detection_overlays/sample_1__pos_2__Pic_2026_04_23_142909_326_overlay.png,
sample_1/pos_3/Pic_2026_04_23_142941_327.bmp,Pic_2026_04_23_142941_327.bmp,s1,pos3,,OK,2716.168401,2715.953120,34.196939,0.721381,subpixel_projection_edge,262.309541,1216.952743,2978.262661,1251.149682,261,1189,2714,291,541755,0.685962,123.000000,0.007644,0.938217,1.000000,0.938217,257.849775,2977.833518,16.791809,13.315001,254.999969,250.934608,291,2737.127188,-20.958788,0.992343,output/detection_overlays/sample_1__pos_3__Pic_2026_04_23_142941_327_overlay.png,
sample_1/pos_3/Pic_2026_04_23_142943_328.bmp,Pic_2026_04_23_142943_328.bmp,s1,pos3,,OK,2716.155944,2715.934222,34.704631,0.732095,subpixel_projection_edge,262.299073,1217.318158,2978.233295,1252.022789,261,1189,2714,295,542025,0.676998,123.000000,0.007831,0.940953,1.000000,0.940953,257.839306,2977.804152,16.890944,13.389620,254.999969,249.972671,295,2737.127188,-20.971244,0.992338,output/detection_overlays/sample_1__pos_3__Pic_2026_04_23_142943_328_overlay.png,
sample_1/pos_3/Pic_2026_04_23_142945_329.bmp,Pic_2026_04_23_142945_329.bmp,s1,pos3,,OK,2716.162049,2715.939994,34.730778,0.732645,subpixel_projection_edge,262.319665,1216.685824,2978.259659,1251.416602,261,1189,2714,291,541932,0.686186,123.000000,0.007841,0.934723,1.000000,0.934723,257.859899,2977.830517,16.708372,13.219714,254.999969,250.982260,291,2737.127188,-20.965139,0.992340,output/detection_overlays/sample_1__pos_3__Pic_2026_04_23_142945_329_overlay.png,
sample_1/pos_3/Pic_2026_04_23_142947_330.bmp,Pic_2026_04_23_142947_330.bmp,s1,pos3,,OK,2716.188219,2715.972233,34.253045,0.722559,subpixel_projection_edge,262.296260,1216.924690,2978.268492,1251.177735,261,1189,2714,291,542293,0.686643,123.000000,0.007665,0.940663,1.000000,0.940663,257.836493,2977.839350,16.940268,13.381729,254.999969,250.867452,291,2737.127188,-20.938969,0.992350,output/detection_overlays/sample_1__pos_3__Pic_2026_04_23_142947_330_overlay.png,
sample_1/pos_3/Pic_2026_04_23_142949_331.bmp,Pic_2026_04_23_142949_331.bmp,s1,pos3,,OK,2716.196755,2715.969729,35.117556,0.740795,subpixel_projection_edge,262.292254,1216.492435,2978.261982,1251.609990,261,1189,2714,291,542253,0.686593,123.000000,0.007983,0.937402,1.000000,0.937402,257.832488,2977.832840,16.890085,13.292784,254.999969,250.961253,291,2737.127188,-20.930434,0.992353,output/detection_overlays/sample_1__pos_3__Pic_2026_04_23_142949_331_overlay.png,
